,0
0,3076.6067
1,2268.0579
2,7854.6406
3,6198.764
4,6538.08
5,14107.789
6,9626.979
7,5527.6865
8,7081.0234
9,3403.6895
10,11690.6
11,5205.24
12,3150.9187
13,8046.3984
14,2319.8655
15,5004.699
16,6616.77
17,10687.083
18,7508.6597
19,12837.131
20,3588.7654
21,7318.3555
22,10576.286
23,4098.6543
24,11480.089
25,2176.1335
26,4534.0786
27,5396.586
28,20523.34
29,13240.322
30,8109.998
31,6069.348
32,4929.0376
33,4973.746
34,8904.266
35,6881.059
36,6563.1113
37,4880.328
38,4957.0854
39,14764.787
40,4558.612
41,2827.7625
42,5991.1875
43,13436.642
44,1670.8391
45,6742.4863
46,5637.7817
47,12736.348
48,5713.8525
49,4483.2725
50,9179.054
51,8922.422
52,5163.9443
53,5134.3223
54,7828.875
55,9835.463
56,37333.69
57,19430.676
58,13677.631
59,19921.379
60,7653.514
61,5571.6465
62,4055.5986
63,4210.3706
64,3880.5896
65,2874.0762
66,4004.7876
67,5107.5693
68,14489.408
69,4162.7495
70,8923.645
71,7346.6226
72,11001.837
73,21461.598
74,11186.765
75,1610.7587
76,5325.029
77,10543.099
78,4956.826
79,11216.229
80,8635.677
81,6728.981
82,5374.234
83,8751.476
84,6326.8965
85,2264.178
86,6962.5513
87,6621.522
88,4695.314
89,3592.9019
90,16456.938
91,5833.204
92,5712.8
93,3665.8916
94,3878.4968
95,7292.441
96,9631.5625
97,2558.78
98,3400.5427
99,4982.0557
100,6687.8916
101,7396.352
102,20238.727
103,2711.244
104,1284.6381
105,7870.7
106,4442.7783
107,2585.7676
108,12187.05
109,8929.755
110,13037.013
111,7054.362
112,11008.935
113,22761.549
114,4905.157
115,8212.88
116,4892.003
117,17151.553
118,6740.357
119,11846.549
120,10089.394
121,10985.814
122,3350.1885
123,2328.4067
124,8988.309
125,12126.924
126,16979.123
127,4922.0347
128,2734.7947
129,5352.446
130,9572.119
131,20024.182
132,8298.857
133,4886.2305
134,5898.4937
135,10766.772
136,3595.6892
137,4993.809
138,4864.972
139,3069.372
140,8526.159
141,3257.466
142,6904.974
143,5877.32
144,4270.906
145,6533.1484
146,4477.702
147,18649.72
148,6253.1763
149,16119.193
150,2817.8276
151,13117.387
152,4963.6714
153,3107.932
154,1807.6179
155,9895.774
156,20908.52
157,8991.788
158,3576.6763
159,7994.6367
160,3452.361
161,9873.199
162,8627.293
163,5248.3813
164,8855.3125
165,2957.041
166,16783.047
167,4434.842
168,18161.19
169,6793.3193
170,5669.8784
171,5833.4126
172,6384.1943
173,8457.365
174,3699.5261
175,4738.8784
176,5796.388
177,5705.849
178,9738.706
179,18154.186
180,4104.0205
181,13247.296
182,4681.79
183,6052.3286
184,6267.091
185,6865.015
186,12373.518
187,601.66315
188,2733.4116
189,12407.507
190,739.3266
191,7249.8105
192,11665.885
193,26111.287
194,6029.8564
195,9944.045
196,7506.0967
197,4781.975
198,5689.64
199,31121.307
200,15653.838
201,10381.036
202,6315.7427
203,6490.278
204,10322.876
205,2252.5447
206,3885.1987
207,23416.559
208,7870.8076
209,13527.694
210,10021.163
211,2243.5054
212,8921.924
213,9507.43
214,12990.042
215,3883.1296
216,5757.6084
217,2845.82
218,21711.504
219,8218.701
220,1708.9132
221,3961.0564
222,17705.006
223,2745.7341
224,29332.002
225,10151.6045
226,6993.4985
227,3793.959
228,22718.125
229,20708.242
230,24731.912
231,7342.812
232,1363.8536
233,3638.154
234,4554.7764
235,3197.5635
236,22120.941
237,2790.8435
238,4315.3296
239,3607.3567
240,9802.311
241,7673.9688
242,15602.173
